ID,Name,Phone,Email,Notes,Tag,Last Transaction,Creation Date,Last Update
1,Tudor Buha,0736172799,tudor.buha@example.com,Best friend from high school,Tu99ha,244.5,2025-04-08 10:04:47.002103,2025-04-08 10:04:47.002103
2,Chis Denis,0753993781,chis.denis@example.com,College roommate,Ch81is,12.72,2025-04-08 10:04:47.002120,2025-04-08 10:04:47.002120
3,Vlad Cenuse,0767906786,vlad.cenuse@example.com,Work colleague,Vl86se,101.49,2025-04-08 10:04:47.002143,2025-04-08 10:04:47.002144
4,Maria Popescu,0719362845,maria.popescu@example.com,Fitness instructor,Ma45cu,275.62,2025-04-08 10:04:47.002152,2025-04-08 10:04:47.002152
5,Alex Dumitru,0737356370,alex.dumitru@example.com,Business partner,Al70ru,384.55,2025-04-08 10:04:47.002159,2025-04-08 10:04:47.002159
6,Elena Ionescu,0717378294,elena.ionescu@example.com,Yoga teacher,El94cu,427.26,2025-04-08 10:04:47.002165,2025-04-08 10:04:47.002166
7,Dan Marinescu,0722462849,dan.marinescu@example.com,Tennis partner,Da49cu,482.28,2025-04-08 10:04:47.002171,2025-04-08 10:04:47.002171
8,Ana Popa,0721533769,ana.popa@example.com,Coffee shop regular,An69pa,-182.34,2025-04-08 10:04:47.002177,2025-04-08 10:04:47.002178
9,Mihai Rusu,0737660592,mihai.rusu@example.com,Book club member,Mi92su,79.19,2025-04-08 10:04:47.002183,2025-04-08 10:04:47.002183
10,Cristina Dobre,0773982650,cristina.dobre@example.com,Travel buddy,Cr50re,15.73,2025-04-08 10:04:47.002189,2025-04-08 10:04:47.002189
11,George Stancu,0740962227,george.stancu@example.com,Photography enthusiast,Ge27cu,133.46,2025-04-08 10:04:47.002195,2025-04-08 10:04:47.002195
12,Laura Munteanu,0729755073,laura.munteanu@example.com,Music band member,La73nu,-460.62,2025-04-08 10:04:47.002201,2025-04-08 10:04:47.002202
13,Adrian Preda,0767579545,adrian.preda@example.com,Hiking group leader,Ad45da,-424.66,2025-04-08 10:04:47.002208,2025-04-08 10:04:47.002208
14,Diana Florea,0771003734,diana.florea@example.com,Chess club friend,Di34ea,-415.45,2025-04-08 10:04:47.002214,2025-04-08 10:04:47.002214
15,Radu Ionita,0723072012,radu.ionita@example.com,Language exchange partner,Ra12ta,-388.59,2025-04-08 10:04:47.002219,2025-04-08 10:04:47.002220
16,sal,0123456789,3dskfdsmk@gmsil.com,,sa89al,0,2025-04-08 10:07:32.678147,2025-04-08 10:07:32.678150
